year,export_journeys,laden_boil_off_total,laden_boil_off_total_no_gcu,laden_methane_emissions,laden_co2_emissions,laden_emissions_co2_equivalent,laden_boil_off_dge,laden_credit,laden_dge_co2_emissions,laden_dge_gcu_co2_emissions,laden_dge_total_co2_emissions
2018,55,63765.682249067904,61709.769962609396,2705.572647831848,170054.67208930635,393264.4155354338,22449932.847354442,11224966.423677221,229213.81437148887,175955.7491344847,405169.56350597355
2019,114,115146.89566024927,110742.97609565282,4721.459956130885,306960.8524819091,696481.2988627071,40288148.50825051,20144074.254125256,411341.9962692378,317737.6540451846,729079.6503144223
2020,56,68479.82620533092,66302.59756184364,2458.5643268285376,184486.90943429706,387318.4663976514,24120797.464817114,12060398.732408557,246273.34211578275,188964.01160570115,435237.3537214839
2021,115,133586.38104110278,129157.14991902922,4183.367511407742,360561.27797372954,705689.0976648682,46987200.63605449,23493600.318027247,479739.3184941164,368619.7798126053,848359.0983067218
2022,150,133851.49722427537,128367.2421719884,4521.788707024415,358207.838344381,731255.4066738953,46699833.24046355,23349916.620231774,476805.2973851329,369351.3444249872,846156.6418101201
2023,138,139499.48631765464,134419.78017961967,4579.615637595286,374581.7638096735,752400.0539112845,48901738.57749061,24450869.288745306,499286.7508761792,384936.4697930056,884223.2206691848
2024,123,144430.82652524728,139921.48835985383,4511.5182813387655,392443.15572719014,764643.4139376383,50903252.7504787,25451626.37523935,519722.2105823876,398544.06607143563,918266.2766538232
